Run Number,Variable,Mean (Normalised),SD (Normalised),HP95 (Normalised),HP05 (Normalised),Mean,SD,HP95,HP05
1,D_i_D,0.08151043438901533,0.04047167380207473,0.14946586324219518,0.015299436921299784,0.017455286402866668,0.008668037165223496,0.03201808999999999,0.0032852985
1,D_i_S,0.1277496303856538,0.03172282446538666,0.1789237112560989,0.0752834499902576,0.01913417844,0.004752909072569014,0.02683335,0.01129552
1,M_i_D,-0.11605012679496046,0.030268046771373316,-0.06800457355371929,-0.16503534232250217,-0.011378474834,0.0029672108586977887,-0.006670361500000001,-0.016181605
1,M_i_S,0.3289547998280631,0.027569331156546223,0.374672819476437,0.28190495492577256,0.017010153933333334,0.0014260317591987064,0.01938339,0.014576205
1,sigma_C_D,-0.0811855026826941,0.04611962921307226,-0.005752902561633545,-0.16024270765977913,-0.0608098429134,0.034537409377641576,-0.004252024000000005,-0.1194683
1,sigma_C_S,-0.021007032093460346,0.030820043245930028,0.028425435601025444,-0.07301093693453235,-0.010532061855267333,0.01543724321376867,0.01419345,-0.03669534000000001
1,sigma_H_D,0.033154535343622574,0.043639858074547726,0.10135583621944587,-0.03915328890891437,0.027026329148800002,0.03552612548070237,0.08202062999999997,-0.03217311
1,sigma_H_S,-0.026361098609670914,0.0339333833552966,0.02673592433083119,-0.08222364542046705,-0.0163742891714,0.02111131769095342,0.016156269999999997,-0.051717570000000004
2,D_i_D,0.08279099245073519,0.023161770691246805,0.12182560605624189,0.044794954307308885,0.017732092866666667,0.004960297049514279,0.026098554999999996,0.0095749135
2,D_i_S,0.0776813682164753,0.018692737423036798,0.10885021088458066,0.047030676954635864,0.01163428306,0.0028000488850927065,0.016276839999999997,0.0070434275
2,M_i_D,-0.07424848602027903,0.017034236331232227,-0.04683447462583887,-0.1010679336536997,-0.007280033486666667,0.00167038529788059,-0.004596342500000001,-0.009902728
2,M_i_S,0.1869262361924905,0.017011248987242968,0.21532895479663217,0.15983600634413495,0.009665148973333332,8.798810731986425e-4,0.011140204999999999,0.008265638500000002
2,sigma_C_D,-0.030775997620540875,0.023608961463431107,0.006772800779171233,-0.0688107731597961,-0.023033994852666665,0.017666431145232434,0.0050003989999999965,-0.051367569999999994
2,sigma_C_S,-0.016209062286087657,0.01613281414526941,0.009912633253871504,-0.043918023397716346,-0.008112630863133333,0.008127194503398633,0.004920708499999997,-0.02218317
2,sigma_H_D,0.021042218348835306,0.02209303285571368,0.0575629977353638,-0.016337618815831415,0.017130794671866668,0.018007454180371817,0.04666821499999999,-0.013375065
2,sigma_H_S,6.618007041521982e-4,0.016113977986199842,0.027012355885491172,-0.02669910094301023,3.285704367933333e-4,0.010022067226270543,0.016604769999999998,-0.016883884999999998
3,D_i_D,0.09291009348981533,0.05666385184225816,0.1853863459042427,-4.5587663911743966e-4,0.020405703811266666,0.012447006365814172,0.04059850999999999,-1.0048210499999984e-4
3,D_i_S,0.11625981644982215,0.049672808862910006,0.19798102380946497,0.0344111240980385,0.017594886274666665,0.007520165741359788,0.029965714999999993,0.005209342
3,M_i_D,-0.0326218612666814,0.04241117715835236,0.03799925102345955,-0.09787693282507605,-0.0032899718126313334,0.004277364640808586,0.0038248299999999995,-0.009876119499999999
3,M_i_S,0.35809767808139403,0.04015531040835089,0.42441374676956,0.29137746241438295,0.019651201333333333,0.00220539659704214,0.023281525,0.01597258
3,sigma_C_D,0.00477987964090926,0.06447749295456873,0.10248281903793144,-0.10889772227933826,0.00376462939878,0.0502843832615299,0.08038368999999998,-0.08538053000000001
3,sigma_C_S,-0.04709654311703813,0.049202925959010824,0.030442861777748263,-0.1346594295595614,-0.025632125401286666,0.026816111420378146,0.01695051499999999,-0.07310566499999999
3,sigma_H_D,0.03683805359269185,0.05460350032776242,0.11880516488222316,-0.05282874338407758,0.030562063845466666,0.0452550413718131,0.098391915,-0.04408146
3,sigma_H_S,0.05959669931512316,0.047861793573103106,0.12817349347141518,-0.025945219669182354,0.037702736206466664,0.03043416244936594,0.08175240499999999,-0.01649777
4,D_i_D,0.0839381493458344,0.028931645852869576,0.13056575579356694,0.034704695234373514,0.018435406232666665,0.006356789718939763,0.028640205,0.007629928
4,D_i_S,0.07321460370634747,0.026254340459488865,0.11527807967551094,0.030699459598879666,0.011081622148466667,0.0039722117971124,0.017441860000000003,0.004642316999999999
4,M_i_D,-0.027950734422639657,0.022590561346439334,0.008555276676569851,-0.0662481974038292,-0.002818834251204,0.002278400440552935,8.630175499999996e-4,-0.006681342
4,M_i_S,0.2011570086985935,0.022326776658710062,0.23763007907781555,0.1645841327374516,0.011038178673333333,0.0012246858540916992,0.013040025,0.0090404585
4,sigma_C_D,0.011042288390919738,0.030397601762881907,0.0599513467298258,-0.03861457197458431,0.008596018614266667,0.02369302224128366,0.047042549999999995,-0.029661160000000002
4,sigma_C_S,-0.022711583386529656,0.023377964810499755,0.01505991068112903,-0.06344575758666098,-0.012364349876133333,0.012830622650855722,0.008272684499999999,-0.03423511
4,sigma_H_D,0.00965112513904859,0.028290026256751647,0.053667762938942605,-0.038081417092531863,0.007965242441833333,0.023465716290813517,0.043977619999999995,-0.031714005
4,sigma_H_S,0.0318297402029923,0.0263439125483243,0.07339355133365376,-0.012653734869358804,0.01957486814364,0.016309778152991273,0.044835755,-0.0080908895
5,D_i_D,0.1476659338674299,0.05672201543282706,0.24411803856471861,0.055192354368100466,0.03243614878993333,0.012459923212783188,0.05359102,0.01209829
5,D_i_S,0.1730355549147975,0.04989937462230106,0.257819612418699,0.0938501902465379,0.026185831014,0.007555121463845013,0.039076105,0.014202685
